page_title,longitude,latitude,hitcount
Musiktheater Linz,48.2948,14.2941,462
Landestheater Linz,48.3036,14.2833,189
Stadtwerkstatt,48.31,14.2847,113
MAERZ (Künstlervereinigung),48.3069,14.2915,108
Kapu,48.3008,14.2822,107
Posthof (Linz),48.3114,14.3119,102
Moviemento (Linz),48.3026,14.2905,99
Urfahraner Markt,48.3119,14.2881,88
Theater Phönix,48.2912,14.2971,83
Offenes Kulturhaus Oberösterreich,48.3026,14.2905,64
Zahnmuseum (Linz),48.3058,14.2867,54
Atelierhaus Salzamt,48.3064,14.2832,44
Zoo Linz,48.3104,14.2634,44
Linz International School Auhof,48.334,14.3203,42
Egon-Hofmann-Haus,48.301,14.2711,38
Johannes-Kepler-Wohnhaus (Linz),48.3065,14.2874,37
Ursulinenhof,48.3023,14.2901,36
Volksküche (Linz),48.3068,14.2915,34
Klosterhof (Linz),48.3022,14.2894,30
Kinderkulturzentrum Kuddelmuddel,48.298,14.2894,29
Hessendenkmal (Linz),48.3033,14.2847,25
Skulpturenpark Artpark,48.2919,14.3041,20
