filters	page_title	page_id	page_namespace
"Geotags (48.3372,14.3178)
Page Hits (count: 473)"	Universität Linz	61198	0
"Geotags (48.3081,14.2456)
Page Hits (count: 163)"	Burschenschafterturm	2939462	0
"Geotags (48.3131,14.2944)
Page Hits (count: 100)"	Donaulände (Linz)	1154578	0
"Geotags (48.287,14.2996)
Page Hits (count: 92)"	Otto-Glöckel-Schule	7622495	0
"Geotags (48.3019,14.3014)
Page Hits (count: 91)"	Khevenhüller Gymnasium Linz	6064894	0
"Geotags (48.3378,14.3167)
Page Hits (count: 79)"	Technisch-Naturwissenschaftliche Fakultät der JKU Linz	3665878	0
"Geotags (48.3361,14.3226)
Page Hits (count: 74)"	Linz Center of Mechatronics	6195135	0
"Geotags (48.2962,14.2684)
Page Hits (count: 71)"	Kollegium Aloisianum	6674152	0
"Geotags (48.2911,14.2883)
Page Hits (count: 64)"	Wissensturm	1740435	0
"Geotags (48.3022,14.2873)
Page Hits (count: 63)"	Akademisches Gymnasium (Linz)	6736576	0
"Geotags (48.334,14.3204)
Page Hits (count: 51)"	Europagymnasium Auhof	4267394	0
"Geotags (48.2934,14.2683)
Page Hits (count: 48)"	Johannes-Kepler-Sternwarte Linz	1029004	0
"Geotags (48.3178,14.2909)
Page Hits (count: 47)"	Berufsschule Linz 1	7608649	0
"Geotags (48.2973,14.291)
Page Hits (count: 47)"	Oberösterreichische Landesbibliothek	3349839	0
"Geotags (48.334,14.3203)
Page Hits (count: 42)"	Linz International School Auhof	2933305	0
"Geotags (48.3061,14.3114)
Page Hits (count: 40)"	Linzer Technikum	1210264	0
"Geotags (48.3162,14.2892)
Page Hits (count: 37)"	Georg-von-Peuerbach-Gymnasium	2056970	0
"Geotags (48.2919,14.3041)
Page Hits (count: 20)"	Skulpturenpark Artpark	4549600	0
"Geotags (48.3092,14.2974)
Page Hits (count: 19)"	Europaschule Linz	7751096	0
"Geotags (48.338,14.3212)
Page Hits (count: 17)"	Universitätsbibliothek Linz	7362027	0
