page_title,longitude,latitude,hitcount
Wirtschaftsuniversität Wien,48.2141,16.4082,1122
Spanische Hofreitschule,48.2069,16.3669,1116
Naturhistorisches Museum Wien,48.2052,16.3593,883
Oesterreichische Nationalbank,48.2161,16.3541,832
Pensionsversicherungsanstalt,48.23,16.3978,555
Weltausstellung 1873,48.2161,16.3956,550
Volkstheater (Wien),48.2051,16.3566,500
Wiener Börse,48.215,16.3667,476
Elektronische Gesundheitsakte (Österreich),48.2297,16.3654,456
Mobilkom Austria,48.2217,16.3694,423
"Bundesministerium für Verkehr, Innovation und Technologie",48.2107,16.3861,342
Liste der Wiener Märkte,48.2111,16.3674,337
Ronacher,48.2051,16.375,302
Zentralanstalt für Meteorologie und Geodynamik,47.791,13.0526,272
Webster University Vienna,48.2236,16.4239,240
Dianabad,48.2136,16.3767,230
Österreichische Industrieholding,48.2333,16.3842,229
Universitätssternwarte Wien,48.2087,16.3774,225
Technologisches Gewerbemuseum,48.2231,16.3511,221
WienTourismus,48.2219,16.3761,221
Lokomotivfabrik Floridsdorf,48.2672,16.3983,220
Waagner-Biro,48.2364,16.4136,172
Österreichischer Raiffeisenverband,48.2145,16.3762,94
HLMW9 Michelbeuern,48.2221,16.3506,90
Palais Henckel von Donnersmarck,48.2044,16.3771,89
Börse für landwirtschaftliche Produkte,48.2141,16.3802,86
Mannesmannturm Wien,48.2144,16.41,54
Verband Österreichischer Zeitungen,48.2122,16.3694,54
Verband Österreichischer Privatsender,48.2058,16.3788,52
Liste von Schaltanlagen im Höchstspannungsnetz in Österreich,48.2575,16.39,49
Österreichische Forschungsförderungsgesellschaft,48.2204,16.3538,49
Realgymnasium und Wirtschaftskundliches Realgymnasium Feldgasse,48.2142,16.3454,48
C. Bühlmayer,48.2078,16.3669,45
Schienen-Control,48.2164,16.3881,42
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien,48.2117,16.3577,41
Zürcher Kantonalbank Österreich,48.2042,16.3759,41
Verband der Öffentlichen Wirtschaft und Gemeinwirtschaft Österreichs,48.2093,16.3563,36
Rosa Schaffer,48.2574,16.3619,21
