page_title,longitude,latitude,hitcount
Universität Wien,48.2131,16.3597,1997
Österreichische Nationalbibliothek,48.2061,16.3663,1609
Wirtschaftsuniversität Wien,48.2141,16.4082,1122
Internationale Atomenergie-Organisation,48.2347,16.4169,915
Naturhistorisches Museum Wien,48.2052,16.3593,883
Narrenturm,48.2186,16.3533,724
Österreichische Akademie der Wissenschaften,48.2087,16.3774,646
Universität für angewandte Kunst Wien,48.2075,16.3817,581
Café Rosa,48.2082,16.3738,566
Bundesministerium für Landesverteidigung und Sport,48.2186,16.3686,467
Universität für Bodenkultur Wien,48.2367,16.3372,463
Elektronische Gesundheitsakte (Österreich),48.2297,16.3654,456
Medizinische Universität Wien,48.22,16.3514,442
Urania (Wien),48.2117,16.3836,433
"Bundesministerium für Verkehr, Innovation und Technologie",48.2107,16.3861,342
Schottenstift,48.2125,16.365,316
Jesuitenkirche (Wien),48.2089,16.3777,307
Bundesdenkmalamt,48.1817,16.3921,284
Hohe Warte (Wien),48.2494,16.3578,280
Zentralanstalt für Meteorologie und Geodynamik,47.791,13.0526,272
Campus WU,48.2141,16.4082,269
Webster University Vienna,48.2236,16.4239,240
Klosterstudie,48.2087,16.3774,220
Rechtswissenschaftliche Fakultät der Universität Wien,48.2139,16.3651,219
Veterinärmedizinische Universität Wien,48.2553,16.4314,210
Vivarium (Prater),48.2144,16.3931,191
Universitätsbibliothek der Universität Wien,48.2131,16.3597,179
Universitätszentrum Althanstraße,48.2312,16.3591,166
Josephinum (Wien),48.2192,16.3561,161
Österreichische Unwetterzentrale,48.2339,16.3825,121
Österreichisches Archäologisches Institut,48.2334,16.3489,119
Zeiss Planetarium der Stadt Wien,48.216,16.3946,114
St. Annahof (Wien),48.2046,16.3716,113
HLMW9 Michelbeuern,48.2221,16.3506,90
Wiener Priesterseminar,48.2225,16.3561,80
Palais Schönborn (Laudongasse),48.2131,16.35,79
Apotheke zum weißen Engel (Wien),48.2103,16.3678,77
Brigittenauer Gymnasium,48.2296,16.3748,70
Kirchliche Pädagogische Hochschule Wien/Krems,48.2075,16.3735,67
Archiv der Universität Wien,48.2094,16.3789,64
Campus Brigittenau,48.2447,16.3697,61
Kloster der Schwestern vom armen Kinde Jesu (Wien),48.2424,16.3553,58
Burgenländisches Priesterseminar,48.2079,16.3683,57
Department für Gerichtliche Medizin Wien,48.2192,16.3528,56
Billrothhaus,48.2157,16.3561,54
Erwin-Schrödinger-Institut für Mathematische Physik,48.2226,16.3561,49
Österreichische Forschungsförderungsgesellschaft,48.2204,16.3538,49
Herzogskolleg,48.2085,16.3784,47
Afro-Asiatisches Institut,48.2168,16.3601,45
Fakultäts-Ehrentafeln der Universität Wien,48.213,16.3608,45
Frintaneum,48.2054,16.3673,42
Institut für Zeitgeschichte der Universität Wien,48.216,16.3514,39
Universitätsbibliothek der Wirtschaftsuniversität Wien,48.2308,16.3581,33
Israelitisches Blindeninstitut,48.2476,16.356,31
K.k. Civil-Mädchen-Pensionat Wien,48.2093,16.348,29
